Experiment,Vertices,Edges,Density,Status,Algorithm,Time(ms),Memory(KB),Weight
V2000_D0.200000,2000,399800,0.2,COMPLETED,KKT,202.487,9080,2601.22
V2000_D0.200000,2000,399800,0.2,COMPLETED,Boruvka_Parallel_2threads,23.4929,40,2601.22
V2000_D0.200000,2000,399800,0.2,COMPLETED,Boruvka_Parallel_4threads,20.987,0,2601.22
V2000_D0.500000,2000,999500,0.5,COMPLETED,Kruskal,70.7247,15648,2226.92
V2000_D0.500000,2000,999500,0.5,COMPLETED,Prim_BinaryHeap,7.9164,400,2226.92
V2000_D0.500000,2000,999500,0.5,COMPLETED,KKT,458.966,25788,2226.92
V2000_D0.500000,2000,999500,0.5,COMPLETED,Boruvka_Parallel_2threads,43.8746,0,2226.92
V2000_D0.500000,2000,999500,0.5,COMPLETED,Boruvka_Parallel_4threads,35.6844,0,2226.92
V2000_D1.000000,2000,1999,1,COMPLETED,Kruskal,0.1541,48,98661.2
V2000_D1.000000,2000,1999,1,COMPLETED,Prim_BinaryHeap,0.138,8,98661.2
V2000_D1.000000,2000,1999,1,COMPLETED,KKT,1.5722,280,98661.2
V2000_D1.000000,2000,1999,1,COMPLETED,Boruvka_Parallel_2threads,1.3083,0,98661.2
V2000_D1.000000,2000,1999,1,COMPLETED,Boruvka_Parallel_4threads,1.1282,32,98661.2
V2000_D2.000000,2000,2000,2,COMPLETED,Kruskal,0.1441,0,101207
V2000_D2.000000,2000,2000,2,COMPLETED,Prim_BinaryHeap,0.1342,0,101207
V2000_D2.000000,2000,2000,2,COMPLETED,KKT,1.6057,128,101207
V2000_D2.000000,2000,2000,2,COMPLETED,Boruvka_Parallel_2threads,0.8749,0,101207
V2000_D2.000000,2000,2000,2,COMPLETED,Boruvka_Parallel_4threads,1.3886,0,101207
V2000_D5.000000,2000,5000,5,COMPLETED,Kruskal,0.3817,72,48009.2
V2000_D5.000000,2000,5000,5,COMPLETED,Prim_BinaryHeap,0.4397,32,48009.2
V2000_D5.000000,2000,5000,5,COMPLETED,KKT,4.5057,652,48009.2
V2000_D5.000000,2000,5000,5,COMPLETED,Boruvka_Parallel_2threads,1.2815,0,48009.2
V2000_D5.000000,2000,5000,5,COMPLETED,Boruvka_Parallel_4threads,1.2333,0,48009.2
V2000_D10.000000,2000,10000,10,COMPLETED,Kruskal,0.711,156,25656
